,CLNT_ID,value
47546,5511169,998500
47547,3938129,998400
47548,4146306,998400
47549,128421,998380
47550,4564737,998370
47551,3269343,998360
47552,4448070,998300
47553,6050406,998300
47554,2141746,998260
47555,737138,998240
47556,5976520,998220
47557,1109694,998200
47558,4410385,998200
47559,5721875,998200
47560,6377953,998200
47561,1447966,998190
47562,5589919,998180
47563,2049938,998120
47564,2156287,998120
47565,4909560,998110
47566,24003,998100
47567,1370349,998100
47568,3609306,998100
47569,4701475,998100
47570,2663697,998080
47571,2674338,998030
47572,5455136,998030
47573,4869306,998010
47574,180576,998000
47575,665545,998000
47576,852313,998000
47577,918589,998000
47578,1063987,998000
47579,1432298,998000
47580,1592786,998000
47581,2157814,998000
47582,2289834,998000
47583,2714794,998000
47584,3026757,998000
47585,3044514,998000
47586,3156983,998000
47587,3476563,998000
47588,3503100,998000
47589,3540044,998000
47590,3601477,998000
47591,3616424,998000
47592,4181109,998000
47593,4419065,998000
47594,4577925,998000
47595,4607522,998000
47596,4725686,998000
47597,5554673,998000
47598,6234060,998000
47599,6390250,998000
47600,6464164,998000
47601,6501963,998000
47602,1112353,997980
47603,2647635,997920
47604,2740618,997910
47605,2365223,997900
47606,3752689,997900
47607,3828090,997900
47608,4134276,997900
47609,5257170,997900
47610,5662626,997900
47611,5897568,997800
47612,6554950,997730
47613,1002941,997700
47614,1119294,997700
47615,3397398,997700
47616,1557562,997670
47617,169297,997660
47618,1560565,997640
47619,334212,997600
47620,368414,997600
47621,636664,997600
47622,3678880,997550
47623,2849519,997540
47624,4457461,997510
47625,63632,997500
47626,811215,997500
47627,989226,997500
47628,4974551,997500
47629,5114748,997500
47630,140170,997430
47631,4559262,997400
47632,4796047,997400
47633,4947767,997400
47634,3333419,997390
47635,2651082,997380
47636,2893280,997380
47637,2926415,997350
47638,6509725,997350
47639,6329240,997300
47640,4970834,997260
47641,5614669,997240
47642,5819947,997240
47643,4579538,997210
47644,2702429,997200
47645,1493901,997140
47646,4004218,997100
47647,2240918,997050
47648,2624217,997040
47649,6214830,997040
47650,4749,997000
47651,1268396,997000
47652,1371459,997000
47653,1769644,997000
47654,2614234,997000
47655,2842263,997000
47656,2912208,997000
47657,4129633,997000
47658,5001066,997000
47659,5073491,997000
47660,5592031,997000
47661,2216846,996960
47662,858373,996900
47663,1172337,996900
47664,5329685,996900
47665,5424423,996900
47666,1748079,996850
47667,1036190,996820
47668,793510,996800
47669,3025233,996800
47670,4057056,996800
47671,1196621,996770
47672,4577994,996720
47673,774614,996700
47674,2418413,996700
47675,2990952,996700
47676,4743474,996700
47677,5637458,996620
47678,5754877,996610
47679,3203824,996600
47680,5603615,996600
47681,5734401,996600
47682,6188587,996600
47683,1274336,996560
47684,4194408,996540
47685,6500683,996510
47686,2419700,996500
47687,3132284,996500
47688,4676473,996500
47689,4011488,996480
47690,3353211,996460
47691,4705034,996450
47692,2981836,996440
47693,3144809,996400
47694,3648016,996400
47695,5859297,996400
47696,6297138,996400
47697,837193,996380
47698,4570544,996380
47699,36000,996300
47700,1037267,996300
47701,5397802,996300
47702,5913581,996300
47703,521504,996280
47704,6275580,996260
47705,5446874,996250
47706,5877912,996220
47707,5307664,996200
47708,4197297,996190
47709,5355063,996180
47710,5843590,996180
47711,2342082,996110
47712,5478791,996110
47713,2825231,996030
47714,225713,996000
47715,240010,996000
47716,312242,996000
47717,378697,996000
47718,487725,996000
47719,694772,996000
47720,727476,996000
47721,900355,996000
47722,973777,996000
47723,1173203,996000
47724,1296514,996000
47725,1336100,996000
47726,1913282,996000
47727,1956300,996000
47728,2030070,996000
47729,2449090,996000
47730,2698674,996000
47731,3122531,996000
47732,3270292,996000
47733,3636504,996000
47734,3677734,996000
47735,4017775,996000
47736,4210960,996000
47737,4254277,996000
47738,4332406,996000
47739,4603703,996000
47740,4859315,996000
47741,5155184,996000
47742,5176427,996000
47743,5980062,996000
47744,6516180,996000
47745,6555122,996000
47746,2390395,995960
47747,971501,995920
47748,3637422,995900
47749,6276467,995900
47750,918265,995860
47751,5761202,995860
47752,166407,995850
47753,520129,995850
47754,706240,995810
47755,1211657,995800
47756,1588165,995800
47757,2602689,995800
47758,2591425,995730
47759,5799624,995700
47760,6455794,995700
47761,1086894,995640
47762,4841776,995640
47763,4115829,995610
47764,1931367,995600
47765,4160636,995600
47766,5915177,995600
47767,6001373,995600
47768,4795981,995580
47769,4483488,995520
47770,1083993,995500
47771,4559335,995500
47772,6183271,995460
47773,4988391,995400
47774,2800940,995390
47775,2203983,995360
47776,4883788,995350
47777,6120749,995280
47778,5576497,995250
47779,732932,995200
47780,1474098,995200
47781,1955438,995200
47782,3773696,995200
47783,4312749,995200
47784,6060949,995200
47785,6311798,995200
47786,5652807,995180
47787,5107703,995160
47788,5466227,995140
47789,3774727,995120
47790,228984,995100
47791,3600465,995100
47792,5954011,995100
47793,830524,995050
47794,5766159,995020
47795,4739119,995010
47796,4865010,995010
47797,628663,995000
47798,1171149,995000
47799,1258533,995000
47800,2032182,995000
47801,2226070,995000
47802,2367964,995000
47803,3070276,995000
47804,3078953,995000
47805,3794628,995000
47806,4690363,995000
47807,6087340,995000
47808,6320215,995000
47809,5623753,994990
47810,4804811,994980
47811,5641179,994910
47812,41631,994900
47813,2011903,994900
47814,2211631,994900
47815,2335357,994900
47816,3265234,994900
47817,5642739,994900
47818,6432951,994900
47819,1146154,994880
47820,3066739,994870
47821,1448226,994850
47822,887897,994800
47823,69005,994780
47824,4857352,994700
47825,5114277,994700
47826,3994036,994640
47827,5257204,994590
47828,2183733,994580
47829,3027206,994560
47830,6531598,994560
47831,1452737,994550
47832,6135355,994550
47833,6426880,994540
47834,583297,994500
47835,1746181,994500
47836,2898717,994500
47837,1419296,994450
47838,3703925,994450
47839,5297791,994440
47840,3156693,994430
47841,2166362,994400
47842,3988758,994400
47843,5558289,994400
47844,1831904,994380
47845,2949912,994370
47846,2968414,994370
47847,121398,994290
47848,5879139,994250
47849,484271,994200
47850,4478711,994180
47851,2005254,994160
47852,4967147,994160
47853,4809089,994100
47854,5823499,994100
47855,3431145,994090
47856,447696,994060
47857,1329272,994040
47858,75807,994000
47859,237978,994000
47860,465677,994000
47861,935700,994000
47862,1263749,994000
47863,1272974,994000
47864,1461369,994000
47865,1715254,994000
47866,2123998,994000
47867,2394083,994000
47868,2716113,994000
47869,2864700,994000
47870,3249879,994000
47871,4305556,994000
47872,4721970,994000
47873,4897751,994000
47874,5103929,994000
47875,5576617,994000
47876,5853317,994000
47877,6099329,994000
47878,6472110,994000
47879,6482405,994000
47880,3668088,993990
47881,1212596,993960
47882,3198157,993960
47883,2028067,993900
47884,3883681,993900
47885,4215458,993900
47886,6311626,993900
47887,6354138,993900
47888,6025046,993880
47889,5580528,993860
47890,342636,993820
47891,371296,993800
47892,569604,993800
47893,1737893,993800
47894,3812316,993800
47895,5941314,993800
47896,6521668,993800
47897,2996078,993770
47898,3681918,993770
47899,82676,993760
47900,5732415,993750
47901,4777296,993700
47902,6199904,993700
47903,6284434,993690
47904,4151058,993650
47905,2468083,993640
47906,315050,993600
47907,674695,993600
47908,832478,993600
47909,4278643,993600
47910,5144341,993600
47911,6129227,993600
47912,930965,993580
47913,3949241,993570
47914,4953608,993550
47915,4083,993500
47916,494529,993440
47917,3601875,993430
47918,5806154,993400
47919,2814716,993390
47920,2751891,993320
47921,1824848,993300
47922,4326654,993300
47923,4415529,993300
47924,4989636,993300
47925,384923,993250
47926,4673173,993230
47927,18715,993200
47928,949854,993200
47929,1977998,993200
47930,2271156,993200
47931,3111561,993200
47932,2858976,993180
47933,2992094,993180
47934,817044,993150
47935,2903961,993100
47936,3039987,993100
47937,5050629,993100
47938,3563786,993060
47939,5787580,993060
47940,1714761,993020
47941,158154,993000
47942,445925,993000
47943,2157841,993000
47944,2205984,993000
47945,2697796,993000
47946,4075045,993000
47947,5504228,993000
47948,5620470,993000
47949,5734730,993000
47950,5961424,993000
47951,6316885,993000
47952,5711694,992990
47953,1155382,992900
47954,1953841,992900
47955,2316875,992900
47956,3071094,992900
47957,3201499,992900
47958,3757212,992900
47959,5454953,992900
47960,165424,992880
47961,172166,992850
47962,367453,992850
47963,622871,992800
47964,2206083,992800
47965,2365421,992800
47966,5748049,992800
47967,4923740,992740
47968,3227284,992710
47969,2264031,992700
47970,6111193,992700
47971,4111733,992640
47972,3035213,992620
47973,1052796,992600
47974,3745305,992600
47975,5994804,992600
47976,4500633,992570
47977,2914997,992560
47978,6048563,992550
47979,60243,992500
47980,443201,992500
47981,467808,992500
47982,572640,992500
47983,1818362,992500
47984,2596780,992500
47985,3237316,992500
47986,5008297,992500
47987,584250,992470
47988,4837991,992440
47989,2803146,992410
47990,200320,992400
47991,2037253,992400
47992,6141328,992400
47993,300229,992300
47994,5249798,992300
47995,6035090,992300
47996,3338560,992250
47997,5142110,992250
47998,5522554,992250
47999,2160305,992240
48000,59751,992200
48001,271646,992200
48002,3295623,992200
48003,4246443,992200
48004,5376333,992200
48005,6517460,992200
48006,3789531,992170
48007,5692309,992110
48008,1563069,992100
48009,1822211,992100
48010,2861415,992100
48011,4546936,992100
48012,180545,992000
48013,640246,992000
48014,651587,992000
48015,686960,992000
48016,1085489,992000
48017,1170703,992000
48018,1623678,992000
48019,1687691,992000
48020,2171843,992000
48021,2592016,992000
48022,3186425,992000
48023,4398781,992000
48024,6059053,992000
48025,6259893,992000
48026,6327401,992000
48027,6447575,992000
48028,6371979,991990
48029,2923780,991960
48030,4115178,991950
48031,491894,991900
48032,1337773,991900
48033,5596933,991900
48034,6180076,991900
48035,3754458,991820
48036,4852754,991820
48037,329718,991800
48038,2393197,991800
48039,5008332,991800
48040,4258309,991720
48041,5860386,991700
48042,1693601,991680
48043,498877,991620
48044,633464,991600
48045,985356,991600
48046,2616402,991600
48047,5883266,991600
48048,3070142,991500
48049,3636233,991500
48050,3726603,991500
48051,4273409,991500
48052,4688264,991500
48053,1674733,991440
48054,6308689,991420
48055,3425267,991400
48056,4397007,991400
48057,3355941,991370
48058,1192540,991300
48059,2806748,991300
48060,3242091,991300
48061,5083057,991300
48062,5154764,991300
48063,5269861,991300
48064,5682421,991270
48065,665660,991260
48066,3975385,991260
48067,3729345,991250
48068,5384352,991240
48069,148288,991230
48070,2964047,991220
48071,768522,991200
48072,1653622,991200
48073,5495599,991200
48074,5767915,991200
48075,4382421,991150
48076,1003533,991130
48077,1471067,991130
48078,3105306,991100
48079,5746473,991100
48080,5600231,991090
48081,6392425,991060
48082,3223450,991050
48083,472154,991000
48084,937281,991000
48085,1110827,991000
48086,3008165,991000
48087,3239293,991000
48088,4538617,991000
48089,5218662,991000
48090,5669016,991000
48091,6323619,990950
48092,939850,990900
48093,5593260,990900
48094,5695682,990900
48095,361583,990830
48096,229853,990800
48097,671003,990800
48098,813814,990800
48099,2179870,990800
48100,3269960,990800
48101,4475229,990800
48102,2023341,990730
48103,131385,990700
48104,545205,990700
48105,2903122,990700
48106,5102361,990700
48107,3694711,990660
48108,2130316,990630
48109,431757,990600
48110,4302452,990600
48111,4562256,990600
48112,5013392,990600
48113,5377346,990580
48114,5164187,990570
48115,4532914,990520
48116,1554112,990500
48117,4484940,990500
48118,5348542,990500
48119,5423932,990500
48120,1660666,990490
48121,4292700,990420
48122,529968,990400
48123,1121140,990400
48124,3938757,990400
48125,6541972,990390
48126,1282982,990360
48127,6393393,990360
48128,1525706,990350
48129,3605546,990340
48130,1563327,990300
48131,2051035,990300
48132,3028292,990300
48133,5584853,990300
48134,6297705,990300
48135,1888677,990210
48136,5933618,990210
48137,3675614,990200
48138,4240968,990200
48139,4746491,990200
48140,6541855,990200
48141,1074810,990120
48142,647294,990100
48143,2514801,990100
48144,3017361,990100
48145,4748807,990100
48146,6112641,990100
48147,4409873,990080
48148,2379221,990060
48149,4578706,990060
48150,5341748,990040
48151,62148,990000
48152,224267,990000
48153,507806,990000
48154,529213,990000
48155,837520,990000
48156,905559,990000
48157,960035,990000
48158,981271,990000
48159,1054337,990000
48160,1242571,990000
48161,1734341,990000
48162,1764590,990000
48163,2694761,990000
48164,2861503,990000
48165,2918505,990000
48166,3511714,990000
48167,3616127,990000
48168,3633229,990000
48169,4259907,990000
48170,4426185,990000
48171,4440198,990000
48172,4513766,990000
48173,4663101,990000
48174,5082617,990000
48175,5115783,990000
48176,5224652,990000
48177,5653213,990000
48178,5673994,990000
48179,5738971,990000
48180,5771989,990000
48181,5874247,990000
48182,145668,989950
48183,2507307,989900
48184,2870386,989880
48185,5082163,989840
48186,3542745,989810
48187,4936852,989720
48188,2093614,989700
48189,2619272,989700
48190,5062164,989700
48191,6103716,989630
48192,503963,989620
48193,4661114,989600
48194,4669779,989600
48195,5513834,989600
48196,6062333,989600
48197,577666,989500
48198,5458207,989500
48199,5790400,989500
48200,5931534,989500
48201,3967391,989470
48202,6548282,989420
48203,1576630,989400
48204,3807220,989400
48205,5022169,989400
48206,5482767,989400
48207,3512365,989390
48208,5544237,989390
48209,4736392,989380
48210,5268896,989320
48211,6455235,989320
48212,535440,989310
48213,4537255,989300
48214,5511292,989300
48215,5972168,989300
48216,5873864,989240
48217,2600083,989200
48218,1518665,989180
48219,4502661,989180
48220,6504883,989150
48221,607392,989100
48222,3772952,989100
48223,4052387,989090
48224,4798742,989050
48225,1132789,989000
48226,1610359,989000
48227,1616133,989000
48228,1878572,989000
48229,1890310,989000
48230,2010854,989000
48231,2079615,989000
48232,2161672,989000
48233,4142951,989000
48234,4182824,989000
48235,5092199,989000
48236,5357510,989000
48237,5568884,989000
48238,6465748,989000
48239,6528654,989000
48240,1824326,988950
48241,3875763,988950
48242,32076,988940
48243,2741513,988900
48244,3979078,988900
48245,3816789,988850
48246,5051093,988820
48247,952918,988800
48248,1137453,988800
48249,1805931,988800
48250,5173671,988800
48251,5217752,988800
48252,1285881,988780
48253,1935896,988750
48254,1147000,988720
48255,3947019,988680
48256,1425490,988660
48257,624181,988640
48258,4674816,988640
48259,2672992,988600
48260,2975340,988600
48261,2439581,988590
48262,3458386,988560
48263,6396275,988510
48264,1164425,988500
48265,5508753,988500
48266,481972,988440
48267,827433,988440
48268,3362761,988420
48269,1874297,988400
48270,2281706,988400
48271,5646765,988400
48272,4440068,988380
48273,1410089,988340
48274,2116063,988300
48275,2296094,988300
48276,2499591,988300
48277,4101638,988300
48278,79550,988270
48279,3233527,988240
48280,1257455,988200
48281,6557729,988170
48282,6168576,988150
48283,1114303,988140
48284,1009313,988100
48285,3323932,988100
48286,4045068,988100
48287,6485322,988100
48288,5829256,988050
48289,5772463,988040
48290,2530743,988020
48291,1228445,988000
48292,1423893,988000
48293,2155865,988000
48294,3155513,988000
48295,3996073,988000
48296,4201979,988000
48297,4690253,988000
48298,2589405,987900
48299,5825741,987900
48300,153678,987860
48301,3381742,987840
48302,2338001,987800
48303,3566483,987800
48304,5673012,987800
48305,5202773,987700
48306,383499,987660
48307,2914817,987610
48308,4902757,987600
48309,5118501,987600
48310,5852409,987600
48311,6297403,987600
48312,5559486,987580
48313,283960,987560
48314,5111079,987560
48315,2912873,987550
48316,6293788,987540
48317,756307,987500
48318,1666998,987500
48319,2342844,987500
48320,4460208,987500
48321,1537690,987460
48322,5279072,987460
48323,5485239,987410
48324,134292,987400
48325,4413111,987400
48326,2661856,987390
48327,3501397,987360
48328,1292761,987350
48329,2238398,987350
48330,264339,987320
48331,2943317,987320
48332,3170382,987310
48333,1200123,987300
48334,5862823,987300
48335,854413,987280
48336,4542563,987280
48337,2555168,987220
48338,21865,987200
48339,452976,987200
48340,1581811,987200
48341,3498100,987200
48342,3978734,987200
48343,4186461,987200
48344,5646215,987200
48345,6551535,987200
48346,5981433,987170
48347,1173423,987100
48348,2083585,987100
48349,4414653,987050
48350,1716847,987020
48351,252394,987000
48352,625949,987000
48353,1042032,987000
48354,1560540,987000
48355,1873956,987000
48356,1949586,987000
48357,2232826,987000
48358,2985271,987000
48359,3035329,987000
48360,3656966,987000
48361,3942019,987000
48362,3948976,987000
48363,3957931,987000
48364,4061320,987000
48365,4067450,987000
48366,4971061,987000
48367,5162037,987000
48368,5291055,987000
48369,5768085,987000
48370,6378042,987000
48371,3030683,986860
48372,1645520,986810
48373,180256,986800
48374,682598,986800
48375,3055831,986800
48376,4793777,986800
48377,4972923,986800
48378,5400854,986800
48379,4250835,986730
48380,187752,986700
48381,2795135,986700
48382,6303374,986700
48383,3406916,986650
48384,3462804,986640
48385,1843475,986620
48386,1366395,986600
48387,1778140,986600
48388,2169077,986600
48389,3972227,986600
48390,4920868,986600
48391,4018208,986590
48392,4726001,986540
48393,4319233,986500
48394,4771201,986500
48395,6446236,986480
48396,240253,986420
48397,1744225,986420
48398,614531,986400
48399,959427,986400
48400,5483685,986400
48401,6491423,986400
48402,2770102,986360
48403,2701170,986350
48404,1492782,986320
48405,1557551,986300
48406,1913837,986300
48407,1093296,986290
48408,461,986250
48409,841943,986210
48410,533756,986200
48411,2299431,986200
48412,3342517,986200
48413,4790370,986200
48414,6240364,986190
48415,2526797,986160
48416,5966402,986100
48417,3783207,986080
48418,4095015,986080
48419,5118058,986050
48420,5452155,986010
48421,437838,986000
48422,1155164,986000
48423,1162899,986000
48424,1764713,986000
48425,2413170,986000
48426,2666321,986000
48427,2666499,986000
48428,2729024,986000
48429,2836403,986000
48430,3418116,986000
48431,4092621,986000
48432,4138540,986000
48433,4244644,986000
48434,4583055,986000
48435,4806691,986000
48436,5357504,986000
48437,6003616,986000
48438,1870480,985960
48439,1860572,985900
48440,2794158,985900
48441,3009357,985900
48442,5462134,985900
48443,610077,985890
48444,1810346,985810
48445,138950,985800
48446,4194678,985800
48447,3558647,985760
48448,759212,985700
48449,2592062,985700
48450,1304534,985600
48451,3915450,985600
48452,5514845,985600
48453,6016678,985550
48454,711831,985500
48455,2747479,985500
48456,3765839,985500
48457,4139366,985500
48458,928296,985450
48459,6338840,985450
48460,1440350,985410
48461,2380114,985400
48462,2612762,985400
48463,2966556,985400
48464,3992063,985400
48465,5135391,985400
48466,1208720,985350
48467,3330458,985320
48468,2060487,985300
48469,5099499,985300
48470,6113072,985300
48471,6535902,985300
48472,3775334,985250
48473,3876553,985250
48474,1936715,985240
48475,6500610,985230
48476,1585863,985220
48477,425637,985180
48478,3376501,985180
48479,3722239,985120
48480,939294,985110
48481,1428708,985100
48482,1539035,985100
48483,3451038,985100
48484,3451392,985060
48485,2745644,985050
48486,1738654,985020
48487,723776,985000
48488,1521959,985000
48489,1677882,985000
48490,1683830,985000
48491,3338766,985000
48492,3627561,985000
48493,4042409,985000
48494,4875867,985000
48495,5477595,985000
48496,6356675,985000
48497,3933454,984980
48498,4932687,984940
48499,6506356,984910
48500,654922,984900
48501,2735044,984900
48502,4800392,984900
48503,5813445,984900
48504,5998845,984900
48505,4467323,984850
48506,5809352,984850
48507,500351,984800
48508,884631,984800
48509,2096775,984800
48510,2418572,984800
48511,5177063,984800
48512,5647630,984800
48513,6247092,984760
48514,6566442,984740
48515,3136171,984710
48516,959938,984700
48517,2837665,984700
48518,4921002,984700
48519,4977252,984700
48520,5609489,984700
48521,5809587,984700
48522,6092796,984650
48523,5504761,984620
48524,1228433,984600
48525,1314947,984600
48526,2839237,984600
48527,4485437,984600
48528,1658287,984480
48529,3402517,984430
48530,1083340,984400
48531,3524984,984400
48532,4278823,984400
48533,4750884,984400
48534,954987,984380
48535,3985885,984380
48536,3950506,984350
48537,223625,984320
48538,374708,984300
48539,2884087,984300
48540,4789813,984300
48541,6271714,984220
48542,4420811,984200
48543,2114497,984100
48544,4765485,984100
48545,3258763,984030
48546,4548175,984020
48547,484552,984000
48548,1807372,984000
48549,2600880,984000
48550,2639926,984000
48551,3601607,984000
48552,3716631,984000
48553,3811280,984000
48554,4028723,984000
48555,4324853,984000
48556,5029664,984000
48557,5245450,984000
48558,5409571,984000
48559,5911958,984000
48560,6065182,984000
48561,6112913,984000
48562,233476,983980
48563,5251008,983920
48564,82305,983900
48565,133641,983900
48566,2642684,983900
48567,2741861,983900
48568,3988696,983900
48569,50408,983800
48570,1112158,983800
48571,1943602,983800
48572,4041910,983800
48573,773305,983760
48574,3842897,983760
48575,2279782,983700
48576,5640375,983700
48577,3237896,983670
48578,4921396,983660
48579,1855465,983640
48580,2087562,983600
48581,4500525,983600
48582,4633489,983600
48583,3296916,983560
48584,3534218,983560
48585,2050292,983550
48586,5802173,983510
48587,2444879,983500
48588,2994907,983500
48589,4358556,983500
48590,5178910,983500
48591,81120,983470
48592,2169941,983460
48593,5590257,983420
48594,75973,983400
48595,864990,983400
48596,1269672,983400
48597,5045553,983400
48598,6301317,983400
48599,4416654,983370
48600,251241,983360
48601,5764580,983350
48602,5846280,983340
48603,822217,983300
48604,1030373,983300
48605,3947514,983300
48606,3039059,983230
48607,6175647,983220
48608,352795,983200
48609,1995317,983200
48610,6143560,983200
48611,2539363,983150
48612,1293901,983110
48613,2918969,983100
48614,1327328,983000
48615,1367608,983000
48616,1916499,983000
48617,2373558,983000
48618,2494953,983000
48619,3712863,983000
48620,3720619,983000
48621,4005200,983000
48622,4137908,983000
48623,5893190,983000
48624,1164725,982990
48625,649364,982970
48626,697647,982900
48627,4452862,982900
48628,4857646,982900
48629,5393982,982900
48630,176134,982880
48631,245038,982860
48632,5773663,982830
48633,262047,982800
48634,280197,982800
48635,626499,982800
48636,2979606,982800
48637,4449151,982800
48638,5843184,982800
48639,6117879,982800
48640,6321812,982800
48641,1580538,982750
48642,6107270,982750
48643,6330192,982740
48644,5162915,982720
48645,2825057,982700
48646,3898369,982700
48647,5208910,982700
48648,1667545,982660
48649,509057,982650
48650,526994,982650
48651,1952188,982650
48652,3306453,982630
48653,984292,982600
48654,1064474,982600
48655,1195095,982600
48656,5024931,982600
48657,1618670,982590
48658,5093362,982500
48659,2501867,982490
48660,117822,982400
48661,429418,982400
48662,1291148,982400
48663,3783722,982400
48664,6243073,982400
48665,1786447,982370
48666,3982352,982360
48667,3836563,982300
48668,2513180,982230
48669,3016301,982200
48670,6067130,982200
48671,3857078,982120
48672,813874,982100
48673,3108958,982100
48674,4609227,982100
48675,3216023,982080
48676,6114407,982080
48677,4989643,982020
48678,213828,982000
48679,250047,982000
48680,701218,982000
48681,2940028,982000
48682,3952253,982000
48683,4029513,982000
48684,4337509,982000
48685,4781908,982000
48686,4785536,982000
48687,6112024,982000
48688,5575561,981820
48689,291,981800
48690,991143,981800
48691,6176996,981800
48692,2485884,981790
48693,1415645,981700
48694,2022762,981700
48695,3302739,981700
48696,6147549,981700
48697,3530167,981650
48698,26898,981600
48699,152833,981600
48700,2239371,981600
48701,2785092,981600
48702,5751665,981600
48703,3018926,981550
48704,5817390,981520
48705,693967,981500
48706,3440016,981500
48707,3681874,981500
48708,5669505,981500
48709,6452040,981500
48710,4185942,981480
48711,3185242,981450
48712,3262180,981430
48713,3612157,981430
48714,947526,981400
48715,2079493,981400
48716,4702569,981400
48717,2975635,981340
48718,4421620,981330
48719,1008803,981300
48720,2464362,981300
48721,4974415,981300
48722,983439,981270
48723,717033,981200
48724,3402891,981200
48725,4641622,981200
48726,5137569,981200
48727,5880336,981200
48728,5898190,981200
48729,4896771,981120
48730,2421080,981100
48731,3058140,981100
48732,2949806,981090
48733,3732860,981030
48734,1735,981000
48735,670249,981000
48736,1107254,981000
48737,1587968,981000
48738,2137461,981000
48739,2657658,981000
48740,3781658,981000
48741,4879829,981000
48742,5624509,981000
48743,5648703,981000
48744,6180904,981000
48745,5343036,980930
48746,298817,980900
48747,2593131,980900
48748,2960145,980900
48749,3234261,980900
48750,3581891,980900
48751,4677851,980900
48752,5597132,980900
48753,5665763,980900
48754,5929624,980900
48755,6140991,980900
48756,6523817,980880
48757,6373359,980860
48758,2350811,980850
48759,6397500,980810
48760,5239616,980800
48761,5397468,980800
48762,3252966,980720
48763,273632,980700
48764,609088,980700
48765,4298478,980700
48766,5546285,980700
48767,3472828,980660
48768,153522,980650
48769,2017061,980600
48770,4384432,980600
48771,5565046,980600
48772,6039583,980600
48773,2199417,980590
48774,5904459,980590
48775,5735222,980550
48776,3630754,980530
48777,2835663,980520
48778,308472,980500
48779,3393307,980500
48780,5337917,980500
48781,6591432,980500
48782,796820,980460
48783,4653541,980460
48784,3098435,980450
48785,4161967,980450
48786,4218093,980450
48787,1709073,980440
48788,331180,980430
48789,6198774,980410
48790,635568,980400
48791,4094105,980400
48792,4676719,980400
48793,4871974,980400
48794,5386982,980400
48795,6035702,980360
48796,1357505,980350
48797,4034505,980350
48798,155763,980330
48799,254064,980300
48800,804404,980300
48801,3371685,980300
48802,5795659,980280
48803,6255264,980260
48804,2728777,980250
48805,3007357,980250
48806,5851578,980210
48807,2740140,980200
48808,4554352,980200
48809,4987882,980200
48810,5081857,980200
48811,5532382,980200
48812,6244326,980200
48813,4830198,980170
48814,6108812,980120
48815,3228322,980100
48816,3403797,980100
48817,4135612,980100
48818,318203,980000
48819,590671,980000
48820,815690,980000
48821,876880,980000
48822,981826,980000
48823,1025169,980000
48824,1063674,980000
48825,1308153,980000
48826,1396463,980000
48827,1397824,980000
48828,1470456,980000
48829,1474329,980000
48830,1683803,980000
48831,1772573,980000
48832,2444830,980000
48833,2539184,980000
48834,2885527,980000
48835,3422704,980000
48836,3424251,980000
48837,3788668,980000
48838,3799491,980000
48839,3914782,980000
48840,4438524,980000
48841,4464602,980000
48842,4664585,980000
48843,5020607,980000
48844,5159581,980000
48845,5167657,980000
48846,5378468,980000
48847,5485981,980000
48848,5674490,980000
48849,5818732,980000
48850,5934518,980000
48851,5941126,980000
48852,6034912,980000
48853,6220772,980000
48854,6224906,980000
48855,6313729,980000
48856,6327275,980000
48857,6354023,980000
48858,2951219,979980
48859,2882867,979940
48860,1027517,979900
